АВС/ DEF;От;До;Емкость;Оператор;Регион;ИНН
901;0000000;0009999;10000;ООО "Т2 Мобайл";Ростовская обл.;7743895280
901;0010000;0019999;10000;ООО "Т2 Мобайл";Республика Северная Осетия - Алания;7743895280
901;0020000;0099999;80000;ООО "Т2 Мобайл";Краснодарский край;7743895280
901;0100000;0134999;35000;ООО "Т2 Мобайл";Республика Адыгея;7743895280
901;0135000;0135049;50;ООО "Т2 Мобайл";Пензенская обл.;7743895280
901;0135050;0135099;50;ООО "Т2 Мобайл";Республика Татарстан;7743895280
901;0135100;0135299;200;ООО "Т2 Мобайл";Кабардино-Балкарская Республика;7743895280
901;0135300;0135499;200;ООО "Т2 Мобайл";Республика Бурятия;7743895280
901;0135500;0135599;100;ООО "Т2 Мобайл";Красноярский край;7743895280
901;0135600;0135699;100;ООО "Т2 Мобайл";Забайкальский край;7743895280
901;0135700;0135799;100;ООО "Т2 Мобайл";Корякский округ|Камчатский край;7743895280
901;0135800;0135899;100;ООО "Т2 Мобайл";Республика Калмыкия;7743895280
901;0135900;0135999;100;ООО "Т2 Мобайл";Республика Алтай;7743895280
901;0136000;0136099;100;ООО "Т2 Мобайл";Республика Тыва;7743895280
901;0136100;0136199;100;ООО "Т2 Мобайл";Иркутская обл.;7743895280
901;0136200;0136299;100;ООО "Т2 Мобайл";Ставропольский край;7743895280
901;0136300;0136399;100;ООО "Т2 Мобайл";Красноярский край;7743895280
901;0136400;0136499;100;ООО "Т2 Мобайл";Липецкая обл.;7743895280
901;0136500;0136599;100;ООО "Т2 Мобайл";Карачаево-Черкесская Республика;7743895280
901;0136600;0136699;100;ООО "Т2 Мобайл";Забайкальский край;7743895280
901;0136700;0136799;100;ООО "Т2 Мобайл";Еврейская автономная обл.;7743895280
901;0136800;0136899;100;ООО "Т2 Мобайл";Амурская обл.;7743895280
901;0136900;0136999;100;ООО "Т2 Мобайл";Камчатский край;7743895280
901;0137000;0137099;100;ООО "Т2 Мобайл";Владимирская обл.;7743895280
901;0137100;0137199;100;ООО "МиАТел";г. Санкт-Петербург и Ленинградская область;7841482919
901;0137200;0137999;800;ООО "МиАТел";г. Санкт-Петербург * Ленинградская область;7841482919
901;0138000;0139999;2000;АО "МТТ";Алтайский край;7705017253
901;0140000;0169999;30000;ООО "Т2 Мобайл";Краснодарский край;7743895280
901;0170000;0199999;30000;ООО "Т2 Мобайл";Республика Тыва;7743895280
901;0200000;0209999;10000;ООО "Т2 Мобайл";Республика Дагестан;7743895280
901;0210000;0238499;28500;Акционерное общество "Тандер";Ростовская обл.;2310031475
901;0300000;0399999;100000;ООО "Т2 Мобайл";Ивановская обл.;7743895280
901;0400000;0499999;100000;ООО "Т2 Мобайл";Ярославская обл.;7743895280
901;0500000;0599999;100000;ООО "Т2 Мобайл";Ярославская обл.;7743895280
901;0600000;0699999;100000;ООО "Плинтрон";г. Москва * Московская область;9729297003
901;0700000;0749999;50000;ООО "Плинтрон";г. Санкт-Петербург * Ленинградская область;9729297003
901;0750000;0758999;9000;ООО "МОЙ ОПЕРАТОР";Москва и Московская область;9722028932
901;0759000;0763999;5000;ООО "МОЙ ОПЕРАТОР";г. Санкт-Петербург и Ленинградская область;9722028932
901;0764000;0764499;500;ООО "МОЙ ОПЕРАТОР";Нижегородская обл.;9722028932
901;0764500;0764999;500;ООО "МОЙ ОПЕРАТОР";Челябинская обл.;9722028932
901;0777000;0777999;1000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;0800000;0899999;100000;ООО "Т2 Мобайл";Оренбургская обл.;7743895280
901;0920000;0939999;20000;ООО "Т2 Мобайл";Воронежская обл.;7743895280
901;0940000;0949999;10000;ООО "Т2 Мобайл";Рязанская обл.;7743895280
901;0950000;0999999;50000;ООО "Т2 Мобайл";Оренбургская обл.;7743895280
901;1000000;1059999;60000;ООО "Т2 Мобайл";Краснодарский край;7743895280
901;1060000;1069999;10000;ООО "Т2 Мобайл";Ростовская обл.;7743895280
901;1070000;1079999;10000;ООО "Т2 Мобайл";Краснодарский край;7743895280
901;1080000;1089999;10000;ОАО "МТТ";Омская обл.;7705017253
901;1090000;1099999;10000;ООО "Т2 Мобайл";Оренбургская обл.;7743895280
901;1100000;1109999;10000;ПАО "Ростелеком";Тверская обл.;7707049388
901;1110000;1119999;10000;ООО "Т2 Мобайл";Красноярский край;7743895280
901;1120000;1159999;40000;ООО "Т2 Мобайл";Оренбургская обл.;7743895280
901;1160000;1169999;10000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;1170000;1239999;70000;ООО "Т2 Мобайл";Тверская обл.;7743895280
901;1240000;1249999;10000;ООО "Т2 Мобайл";Кемеровская обл.;7743895280
901;1250000;1269999;20000;ООО "Т2 Мобайл";Тверская обл.;7743895280
901;1270000;1279999;10000;ООО "Т2 Мобайл";Калужская обл.;7743895280
901;1280000;1289999;10000;ООО "Т2 Мобайл";Тверская обл.;7743895280
901;1290000;1299999;10000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;1300000;1314999;15000;ООО "Т2 Мобайл";Волгоградская обл.;7743895280
901;1315000;1315099;100;ООО "Т2 Мобайл";Республика Марий Эл;7743895280
901;1315100;1315199;100;ООО "Т2 Мобайл";Чувашская Республика;7743895280
901;1315200;1315299;100;ООО "Т2 Мобайл";Брянская обл.;7743895280
901;1315300;1315399;100;ООО "Т2 Мобайл";Республика Мордовия;7743895280
901;1315400;1315499;100;ООО "Т2 Мобайл";Кемеровская обл.;7743895280
901;1315500;1315599;100;ООО "Т2 Мобайл";Воронежская обл.;7743895280
901;1315600;1315699;100;ООО "Т2 Мобайл";Томская обл.;7743895280
901;1315700;1315799;100;ООО "Т2 Мобайл";Чувашская Республика;7743895280
901;1315800;1315899;100;ООО "Т2 Мобайл";Удмуртская Республика;7743895280
901;1315900;1315999;100;ООО "Т2 Мобайл";Астраханская обл.;7743895280
901;1316000;1316099;100;ООО "Т2 Мобайл";Ростовская обл.;7743895280
901;1316100;1316199;100;ООО "Т2 Мобайл";Омская обл.;7743895280
901;1316200;1316299;100;ООО "Т2 Мобайл";Республика Мордовия;7743895280
901;1316300;1316399;100;ООО "Т2 Мобайл";Ростовская обл.;7743895280
901;1316400;1316999;600;ООО "Цифра групп";Москва и Московская область;9703019499
901;1317000;1318999;2000;АО "МТТ";Амурская обл.;7705017253
901;1319000;1319999;1000;ООО "МиАТел";Новосибирская обл.;7841482919
901;1320000;1329999;10000;ООО "Интернод";г. Санкт-Петербург * Ленинградская область;7733808377
901;1330000;1339999;10000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;1340000;1349999;10000;ООО "Т2 Мобайл";Приморский край;7743895280
901;1350000;1379999;30000;ООО "Т2 Мобайл";Республика Тыва;7743895280
901;1380000;1389999;10000;ООО "Т2 Мобайл";Приморский край;7743895280
901;1390000;1399999;10000;ОАО "МТТ";Ростовская обл.;7705017253
901;1400000;1419999;20000;ПАО "Ростелеком";Владимирская обл.;7707049388
901;1420000;1429999;10000;ОАО "МТТ";Воронежская обл.;7705017253
901;1430000;1439999;10000;ОАО "МТТ";Республика Татарстан;7705017253
901;1440000;1449999;10000;ООО "Т2 Мобайл";Астраханская обл.;7743895280
901;1450000;1459999;10000;ООО "Т2 Мобайл";Калужская обл.;7743895280
901;1460000;1464999;5000;ОАО "МТТ";Челябинская обл.;7705017253
901;1465000;1469999;5000;ОАО "МТТ";Воронежская обл.;7705017253
901;1470000;1474999;5000;ООО "Т2 Мобайл";Калужская обл.;7743895280
901;1475000;1479999;5000;ООО "Интернод";г. Москва * Московская область;7733808377
901;1480000;1484999;5000;ОАО "МТТ";Самарская обл.;7705017253
901;1485000;1489999;5000;ОАО "МТТ";Ростовская обл.;7705017253
901;1490000;1509999;20000;ООО "Т2 Мобайл";Свердловская обл.;7743895280
901;1510000;1519999;10000;ООО "Сбербанк-Телеком";г. Москва * Московская область;7736264044
901;1520000;1529999;10000;ПАО "Мобильные ТелеСистемы";Республика Башкортостан;7740000076
901;1530000;1534999;5000;ОАО "МТТ";Республика Татарстан;7705017253
901;1535000;1539999;5000;ОАО "МТТ";Новосибирская обл.;7705017253
901;1540000;1545999;6000;ООО "Т2 Мобайл";Республика Коми;7743895280
901;1546000;1549999;4000;ООО "Т2 Мобайл";Республика Марий Эл;7743895280
901;1550000;1559999;10000;ОАО "МТТ";Свердловская обл.;7705017253
